,text,text_clean,tokens,tokens_back_to_text,tokens2,topics
37,"As you know it's been discarded as a treatment for moderate, mild and severe COVID.",know discard treatment moderate mild severe covid,"[know, discard, treatment, moderate, mild, severe, covid]",know discard treatment moderate mild severe covid,"['discard', 'treatment', 'moderate', 'mild', 'severe', 'covid']",2
38,"But there's still some some investigator, which think that if you use it early enough, you may have an effect.",still investigator think use early enough may effect,"[still, investigator, think, use, early, enough, may, effect]",still investigator think use early enough may effect,"['still', 'investigator', 'use', 'early', 'enough', 'may', 'effect']",7
39,But these are double-blind placebo randomized study of hydroxychloroquine in actually healthcare workers.,double blind placebo randomize study hydroxychloroquine actually healthcare worker,"[double, blind, placebo, randomize, study, hydroxychloroquine, actually, healthcare, worker]",double blind placebo randomize study hydroxychloroquine actually healthcare worker,"['double', 'blind', 'placebo', 'randomize', 'study', 'hydroxychloroquine', 'healthcare', 'worker']",1
40,They were taking these hydroxychloroquine before they they were exposed to COVID.,take hydroxychloroquine expose covid,"[take, hydroxychloroquine, expose, covid]",take hydroxychloroquine expose covid,"['take', 'hydroxychloroquine', 'expose', 'covid']",11
41,"And when they look at those who were taking and not taking the hydroxychloroquine, no difference.",look take take hydroxychloroquine difference,"[look, take, take, hydroxychloroquine, difference]",look take take hydroxychloroquine difference,"['look', 'take', 'take', 'hydroxychloroquine', 'difference']",11
42,"It's another another negative study for for hydroxychloroquine, in this case as pre-exposure prophylaxis, and we have already post-prophylaxis and a side step treatment.",another another negative study hydroxychloroquine case pre exposure prophylaxis already post prophylaxis side step treatment,"[another, another, negative, study, hydroxychloroquine, case, pre, exposure, prophylaxis, already, post, prophylaxis, side, step, treatment]",another another negative study hydroxychloroquine case pre exposure prophylaxis already post prophylaxis side step treatment,"['another', 'another', 'negative', 'study', 'hydroxychloroquine', 'case', 'pre', 'exposure', 'prophylaxis', 'already', 'post', 'prophylaxis', 'side', 'step', 'treatment']",1
43,"So hydroxychloroquine so far, no, no good news from from that. ",hydroxychloroquine far good news,"[hydroxychloroquine, far, good, news]",hydroxychloroquine far good news,"['hydroxychloroquine', 'far', 'good', 'news']",8
44,An article that was actually pushed at the beginning of the of the pandemic assess a possible treatment based on the in vitro study in Vero cells.,article actually push beginning pandemic assess possible treatment base vitro study vero cell,"[article, actually, push, beginning, pandemic, assess, possible, treatment, base, vitro, study, vero, cell]",article actually push beginning pandemic assess possible treatment base vitro study vero cell,"['article', 'push', 'beginning', 'pandemic', 'assess', 'possible', 'treatment', 'base', 'vitro', 'study', 'vero', 'cell']",7
45,But there's definitely no no clinical efficacy in these clinical trial.,definitely clinical efficacy clinical trial,"[definitely, clinical, efficacy, clinical, trial]",definitely clinical efficacy clinical trial,"['definitely', 'clinical', 'efficacy', 'clinical', 'trial']",0
46,"Another, another topic that we have been discussing is the long COVID, and I found this recent paper published in Clinical Microbiology and Infection.",another another topic discuss long covid find recent paper publish clinical microbiology infection,"[another, another, topic, discuss, long, covid, find, recent, paper, publish, clinical, microbiology, infection]",another another topic discuss long covid find recent paper publish clinical microbiology infection,"['another', 'another', 'topic', 'discuss', 'long', 'covid', 'find', 'recent', 'paper', 'publish', 'clinical', 'microbiology', 'infection']",10
47,"It's actually a pretty well known study on follow up of patient with no critical COVID because, as you know, there has been the discussion that some of this long COVID symptoms are may be related to the fact that the patient is in ICU, intubated, inmobile.",actually pretty well know study follow patient critical covid know discussion long covid symptom may relate fact patient icu intubate inmobile,"[actually, pretty, well, know, study, follow, patient, critical, covid, know, discussion, long, covid, symptom, may, relate, fact, patient, icu, intubate, inmobile]",actually pretty well know study follow patient critical covid know discussion long covid symptom may relate fact patient icu intubate inmobile,"['pretty', 'well', 'study', 'follow', 'patient', 'critical', 'covid', 'discussion', 'long', 'covid', 'symptom', 'may', 'relate', 'fact', 'patient', 'icu', 'intubate', 'inmobile']",9
48,"So they when they leave the hospital, they're weak, that they still have some long issues.",leave hospital weak still long issue,"[leave, hospital, weak, still, long, issue]",leave hospital weak still long issue,"['leave', 'hospital', 'weak', 'still', 'long', 'issue']",2
49,"They have a lot of fatigue, and people have a speculated that that this may be partly just due to the, you know, the the critical face of the disease.",lot fatigue people speculate may partly due know critical face disease,"[lot, fatigue, people, speculate, may, partly, due, know, critical, face, disease]",lot fatigue people speculate may partly due know critical face disease,"['fatigue', 'people', 'speculate', 'may', 'partly', 'due', 'critical', 'face', 'disease']",3
50,"So these authors actually look at the non-critical COVID patients, and they follow them for 60 days.",author actually look non critical covid patient follow day,"[author, actually, look, non, critical, covid, patient, follow, day]",author actually look non critical covid patient follow day,"['author', 'look', 'non', 'critical', 'covid', 'patient', 'follow', 'day']",9
51,"And they did, like, standardized questionnaires on these patients and register the symptomatology.",like standardized questionnaire patient register symptomatology,"[like, standardized, questionnaire, patient, register, symptomatology]",like standardized questionnaire patient register symptomatology,"['standardized', 'questionnaire', 'patient', 'register', 'symptomatology']",2
52,And they actually initially enroll 293 patients.,actually initially enroll patient,"[actually, initially, enroll, patient]",actually initially enroll patient,"['initially', 'enroll', 'patient']",2
53,They ended up because some patients were not known included 101 with mild to moderate COVID and 29 with severe COVID.,end patient know include mild moderate covid severe covid,"[end, patient, know, include, mild, moderate, covid, severe, covid]",end patient know include mild moderate covid severe covid,"['end', 'patient', 'include', 'mild', 'moderate', 'covid', 'severe', 'covid']",2
54,"But non-critical, not ICU COVID. ",non critical icu covid,"[non, critical, icu, covid]",non critical icu covid,"['non', 'critical', 'icu', 'covid']",9
55,"And the results, what we suspected that a high, very high percentage of patient on day 30 and a 60 almost almost two third of the patients, they have persistent symptoms.",result suspect high high percentage patient day almost almost two third patient persistent symptom,"[result, suspect, high, high, percentage, patient, day, almost, almost, two, third, patient, persistent, symptom]",result suspect high high percentage patient day almost almost two third patient persistent symptom,"['result', 'suspect', 'high', 'high', 'percentage', 'patient', 'day', 'almost', 'almost', 'two', 'third', 'patient', 'persistent', 'symptom']",2
56,So more than one or more symptoms in basically two third and this persisted all the way out to the 60 day follow up.,one symptom basically two third persist way day follow,"[one, symptom, basically, two, third, persist, way, day, follow]",one symptom basically two third persist way day follow,"['symptom', 'basically', 'two', 'third', 'persist', 'way', 'day', 'follow']",10
57,"So it's a pretty, you know, prevalent issue.",pretty know prevalent issue,"[pretty, know, prevalent, issue]",pretty know prevalent issue,"['pretty', 'prevalent', 'issue']",7
58,Some of the most frequent symptoms was the loss of sense off smell and taste.,frequent symptom loss sense smell taste,"[frequent, symptom, loss, sense, smell, taste]",frequent symptom loss sense smell taste,"['frequent', 'symptom', 'loss', 'sense', 'smell', 'taste']",0
59,"The anosmia and ageusia we have at the onset 59% hearted on day 30 28 they 60 still, like one quarter of the patient, have these these anosmia, or loss of taste.",anosmia ageusia onset hearte day still like one quarter patient anosmia loss taste,"[anosmia, ageusia, onset, hearte, day, still, like, one, quarter, patient, anosmia, loss, taste]",anosmia ageusia onset hearte day still like one quarter patient anosmia loss taste,"['anosmia', 'ageusia', 'onset', 'hearte', 'day', 'still', 'quarter', 'patient', 'anosmia', 'loss', 'taste']",2
60,"Also astenia, which was not reported in the initial information with 50% in day 30 and 40% on day 60. ",also astenia report initial information day day,"[also, astenia, report, initial, information, day, day]",also astenia report initial information day day,"['astenia', 'report', 'initial', 'information', 'day', 'day']",9
61,"And dyspnea, you can see the 36% on day 30 and 30%.",dyspnea see day,"[dyspnea, see, day]",dyspnea see day,"['dyspnea', 'day']",8
62,So so a lot of these symptoms seems to persist beyond day 30 and on all the way to two months after they left the hospital.,lot symptom seem persist beyond day way two month leave hospital,"[lot, symptom, seem, persist, beyond, day, way, two, month, leave, hospital]",lot symptom seem persist beyond day way two month leave hospital,"['symptom', 'seem', 'persist', 'beyond', 'day', 'way', 'two', 'month', 'leave', 'hospital']",0
63,"The other interesting finding on this trial was to to see if there were factors associated with symptoms persistence, and they found first the younger age group, a relatively younger age group 40 to 60 were more likely to have this symptoms if the patient was hospitalized, obviously, and if there were, there was evidence of a normal pulmonary auscultation, which are all markers or severe disease.",interesting finding trial see factor associate symptom persistence find first young age group relatively young age group likely symptom patient hospitalize obviously evidence normal pulmonary auscultation marker severe disease,"[interesting, finding, trial, see, factor, associate, symptom, persistence, find, first, young, age, group, relatively, young, age, group, likely, symptom, patient, hospitalize, obviously, evidence, normal, pulmonary, auscultation, marker, severe, disease]",interesting finding trial see factor associate symptom persistence find first young age group relatively young age group likely symptom patient hospitalize obviously evidence normal pulmonary auscultation marker severe disease,"['interesting', 'finding', 'trial', 'factor', 'associate', 'symptom', 'persistence', 'find', 'first', 'young', 'age', 'group', 'relatively', 'young', 'age', 'group', 'likely', 'symptom', 'patient', 'hospitalize', 'obviously', 'evidence', 'normal', 'pulmonary', 'auscultation', 'marker', 'severe', 'disease']",2
64,So the more severe disease the higher the likelihood and the issue was kind of interesting.,severe disease high likelihood issue kind interesting,"[severe, disease, high, likelihood, issue, kind, interesting]",severe disease high likelihood issue kind interesting,"['severe', 'disease', 'high', 'likelihood', 'issue', 'kind', 'interesting']",2
65,"It was not the older or the younger, but actually like like the middle of the of the group. ",old young actually like like middle group,"[old, young, actually, like, like, middle, group]",old young actually like like middle group,"['old', 'young', 'middle', 'group']",2
66,"And this is this is sort of the same result put graphically, so to the right is the odds-ratio of having persistent symptoms.",sort result put graphically right odd ratio persistent symptom,"[sort, result, put, graphically, right, odd, ratio, persistent, symptom]",sort result put graphically right odd ratio persistent symptom,"['result', 'put', 'graphically', 'right', 'odd', 'ratio', 'persistent', 'symptom']",2
67,"So if you receive oxygen, if you have a normal auscultation if you're hospitalized, which is essentially, in my view, the same thing you had a higher odds-ratio of having symptoms.",receive oxygen normal auscultation hospitalize essentially view thing high odd ratio symptom,"[receive, oxygen, normal, auscultation, hospitalize, essentially, view, thing, high, odd, ratio, symptom]",receive oxygen normal auscultation hospitalize essentially view thing high odd ratio symptom,"['receive', 'oxygen', 'normal', 'auscultation', 'hospitalize', 'essentially', 'view', 'high', 'odd', 'ratio', 'symptom']",2
68,And if you were in this age from 40 to 60 also was to the right of the curve.,age also right curve,"[age, also, right, curve]",age also right curve,"['age', 'right', 'curve']",4
69,So a higher probability of having symptoms.,high probability symptom,"[high, probability, symptom]",high probability symptom,"['high', 'probability', 'symptom']",2
70,"So, you know, this is more information regarding the lung COVID which I found interesting.",know information regard lung covid find interesting,"[know, information, regard, lung, covid, find, interesting]",know information regard lung covid find interesting,"['information', 'regard', 'lung', 'covid', 'find', 'interesting']",9
71,This this was age 30 age 60 very similar results.,age age similar result,"[age, age, similar, result]",age age similar result,"['age', 'age', 'similar', 'result']",4
72,The other important trial that was published over the last week was the final report of the Remdesivir.,important trial publish last week final report remdesivir,"[important, trial, publish, last, week, final, report, remdesivir]",important trial publish last week final report remdesivir,"['important', 'trial', 'publish', 'last', 'week', 'final', 'report', 'remdesivir']",4
73,"And I'm gonna I'm not going to go over the you know, all over the graph and things that the result of this final report was very similar to the original bigger publication, the preliminary report.",go go go know graph thing result final report similar original big publication preliminary report,"[go, go, go, know, graph, thing, result, final, report, similar, original, big, publication, preliminary, report]",go go go know graph thing result final report similar original big publication preliminary report,"['graph', 'result', 'final', 'report', 'similar', 'original', 'big', 'publication', 'preliminary', 'report']",4
74,So the end of the story is that that Remdesivir shorten the recovery patients received Remdesivir across the board and this tudy had 10 days.,end story remdesivir shorten recovery patient receive remdesivir across board tudy day,"[end, story, remdesivir, shorten, recovery, patient, receive, remdesivir, across, board, tudy, day]",end story remdesivir shorten recovery patient receive remdesivir across board tudy day,"['end', 'story', 'remdesivir', 'shorten', 'recovery', 'patient', 'receive', 'remdesivir', 'across', 'board', 'tudy', 'day']",4
75,They recover as supposed to 15 days of the placebo arms.,recover suppose day placebo arm,"[recover, suppose, day, placebo, arm]",recover suppose day placebo arm,"['recover', 'suppose', 'day', 'placebo', 'arm']",10
76,"So five day reduction in the recovery, which gives you a rate of recovery of 30% more, 1.29 basically, these are the confidence intervals and this was a statistically significant.",five day reduction recovery give rate recovery basically confidence interval statistically significant,"[five, day, reduction, recovery, give, rate, recovery, basically, confidence, interval, statistically, significant]",five day reduction recovery give rate recovery basically confidence interval statistically significant,"['five', 'day', 'reduction', 'recovery', 'give', 'rate', 'recovery', 'basically', 'confidence', 'interval', 'statistically', 'significant']",8
77,"Unfortunately, the mortality the Kaplan-Meier mortality report A day 15 and 8 29 there wasn't America.",unfortunately mortality kaplan meier mortality report day america,"[unfortunately, mortality, kaplan, meier, mortality, report, day, america]",unfortunately mortality kaplan meier mortality report day america,"['unfortunately', 'mortality', 'kaplan', 'meier', 'mortality', 'report', 'day', 'america']",5
78,"We better survival with Remdesivir 6.7 versus 11.9 a day, 15 11.4 versus 15 in the placebo warm.",better survival remdesivir versus day versus placebo warm,"[better, survival, remdesivir, versus, day, versus, placebo, warm]",better survival remdesivir versus day versus placebo warm,"['better', 'survival', 'remdesivir', 'versus', 'day', 'versus', 'placebo', 'warm']",10
79,But both of these differences were know statistically significant.,difference know statistically significant,"[difference, know, statistically, significant]",difference know statistically significant,"['difference', 'statistically', 'significant']",8
80,So because the house or racial cross one barely course one.,house racial cross one barely course one,"[house, racial, cross, one, barely, course, one]",house racial cross one barely course one,"['house', 'racial', 'cross', 'barely', 'course']",7
81,"So I mean, but But you can see that definitely the mortality was less in the Remdesivir, but it was not statistically significant.",mean see definitely mortality less remdesivir statistically significant,"[mean, see, definitely, mortality, less, remdesivir, statistically, significant]",mean see definitely mortality less remdesivir statistically significant,"['mean', 'definitely', 'mortality', 'less', 'remdesivir', 'statistically', 'significant']",5
82,"This was a pretty large trial of thousands, you know, more than 1000 patients or so that was the final report of Remdesivir.",pretty large trial thousand know patient final report remdesivir,"[pretty, large, trial, thousand, know, patient, final, report, remdesivir]",pretty large trial thousand know patient final report remdesivir,"['pretty', 'large', 'trial', 'thousand', 'patient', 'final', 'report', 'remdesivir']",4
83,"You know, a positive finding, but not know what we expect that especially no impact in mortality, at least in this trial.",know positive finding know expect especially impact mortality least trial,"[know, positive, finding, know, expect, especially, impact, mortality, least, trial]",know positive finding know expect especially impact mortality least trial,"['positive', 'finding', 'expect', 'especially', 'impact', 'mortality', 'least', 'trial']",7
84,"And again, patients with that were receiving oxygen, but not in ECMO or mechanical ventilation, where those who benefit the most was the larger group and was also the group that received more benefit, those who were at the beginning of the disease or not required oxygen, no significant changes.",patient receive oxygen ecmo mechanical ventilation benefit large group also group receive benefit beginning disease require oxygen significant change,"[patient, receive, oxygen, ecmo, mechanical, ventilation, benefit, large, group, also, group, receive, benefit, beginning, disease, require, oxygen, significant, change]",patient receive oxygen ecmo mechanical ventilation benefit large group also group receive benefit beginning disease require oxygen significant change,"['patient', 'receive', 'oxygen', 'ecmo', 'mechanical', 'ventilation', 'benefit', 'large', 'group', 'group', 'receive', 'benefit', 'beginning', 'disease', 'require', 'oxygen', 'significant', 'change']",2
85,And and those at the end of the spectrum also had less of an impact.,end spectrum also less impact,"[end, spectrum, also, less, impact]",end spectrum also less impact,"['end', 'spectrum', 'less', 'impact']",5
86,"So so the drug should be used presumably early, but in post patient that require oxygen.",drug use presumably early post patient require oxygen,"[drug, use, presumably, early, post, patient, require, oxygen]",drug use presumably early post patient require oxygen,"['drug', 'use', 'presumably', 'early', 'post', 'patient', 'require', 'oxygen']",8
87,That was that sort of the conclusion of the of the final report.,sort conclusion final report,"[sort, conclusion, final, report]",sort conclusion final report,"['conclusion', 'final', 'report']",4
89,I'm not going to go into this so I'm going to skip the graph for the sake of time.,go go go skip graph sake time,"[go, go, go, skip, graph, sake, time]",go go go skip graph sake time,"['skip', 'graph', 'sake', 'time']",7
90,But we discussed that with the original publication and finally one a couple of epidemiological publication.,discuss original publication finally one couple epidemiological publication,"[discuss, original, publication, finally, one, couple, epidemiological, publication]",discuss original publication finally one couple epidemiological publication,"['discuss', 'original', 'publication', 'finally', 'couple', 'epidemiological', 'publication']",4
91,"First of all, this was interesting.",first interesting,"[first, interesting]",first interesting,"['first', 'interesting']",5
92,Interesting publication in and the MMWR.,interesting publication mmwr,"[interesting, publication, mmwr]",interesting publication mmwr,"['interesting', 'publication', 'mmwr']",5
93,"From Arizona, and I think I think the results are really compelling of how you can actually flatten the curve if you implement some changes and not necessarily complete lockdown, which is one of the things that is being discussed.",arizona think think result really compelling actually flatten curve implement change necessarily complete lockdown one thing discuss,"[arizona, think, think, result, really, compelling, actually, flatten, curve, implement, change, necessarily, complete, lockdown, one, thing, discuss]",arizona think think result really compelling actually flatten curve implement change necessarily complete lockdown one thing discuss,"['arizona', 'result', 'compelling', 'flatten', 'curve', 'implement', 'change', 'necessarily', 'complete', 'lockdown', 'discuss']",3
94,And so this is the the number of daily cases in Arizona and you can see.,number daily case arizona see,"[number, daily, case, arizona, see]",number daily case arizona see,"['number', 'daily', 'case', 'arizona']",6
95,"After they lifted the stay at home and and the summer came, you can see how traumatic was the increase in cases in our neighboring state, Arizona.",lift stay home summer come see traumatic increase case neighboring state arizona,"[lift, stay, home, summer, come, see, traumatic, increase, case, neighboring, state, arizona]",lift stay home summer come see traumatic increase case neighboring state arizona,"['lift', 'stay', 'home', 'summer', 'come', 'traumatic', 'increase', 'case', 'neighboring', 'state', 'arizona']",0
96,But then they slowly started to implement measures.,slowly start implement measure,"[slowly, start, implement, measure]",slowly start implement measure,"['slowly', 'start', 'implement', 'measure']",4
